City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,sentiment classification
Luxor,Nefertiti Hotel Luxor,Dohyeok,South Korea,2 nights   ,January 2025,Solo traveller,Triple Room,Reviewed: 15 January 2025,view rooftop food really good every staff member excellent kindness willing help everything thank reem,negative feedback,No Negative Feedback,1
Luxor,Nefertiti Hotel Luxor,Alice05,Italy,1 night   ,February 2025,Solo traveller,Double Room,Reviewed: 4 February 2025,great location,room exactly reflect photos wifi went small bathroom,The room does not exactly reflect the photos. Wifi went on and off. Very small bathroom.,-1
Luxor,Nefertiti Hotel Luxor,Tiongjp,Malaysia,2 nights   ,January 2025,Family,Twin Room,Reviewed: 4 February 2025,town center steps luxor temple good restaurant roof top night market behind hotel,hotel without lift room th floor walk way staircase th floor luggage hotel staff assist carry room,"This hotel is without lift. If your room is on 4th floor, you have to walk all the way on the staircase up to 4th floor. For your luggage, the hotel staff can assist to carry it to your room.",-1
Luxor,Nefertiti Hotel Luxor,Hongtao,China,3 nights   ,January 2025,Couple,Twin Room,Reviewed: 4 February 2025,nice location close luxor temple good view rooftop restaurant friendly staff,room big,Room is not so big.,-1
Luxor,Nefertiti Hotel Luxor,Robert,United States,2 nights   ,February 2025,Solo traveller,Double Room,Reviewed: 4 February 2025,location staff rooftop restaurant service,negative feedback,No Negative Feedback,1
Luxor,Nefertiti Hotel Luxor,Vani,New Zealand,1 night   ,January 2025,Family,Triple Room,Reviewed: 4 February 2025,excellent staff love roof top restaurant great food great accessibility view temple luxor loved,rooms accurate depiction shown booking com room run bathroom uncomfortable stayed night,"The rooms were not an accurate depiction as shown on Booking.com
Room was run down and the bathroom was uncomfortable but we only stayed 1 night",-1
Luxor,Nefertiti Hotel Luxor,David,United Kingdom,2 nights   ,February 2025,Solo traveller,Single Room,Reviewed: 3 February 2025,central,negative feedback,No Negative Feedback,1
Luxor,Nefertiti Hotel Luxor,Tony,France,1 night   ,January 2025,Couple,Triple Room,Reviewed: 3 February 2025,great hotel located heart luxor busy shopping bazaar wonderful rooftop terrace restaurant spectacular views nile luxor temple street life fabulous restaurant best food eaten egypt definitely best egyptian breakfast far say staff wonderful welcoming always ready smile incredible helpful regret stay longer definitely wishlist go back oh miss beautiful sunsets terrace amazing,nothing complain entrance tucked away main street accessed entrance bazaar inside gets better better put entrance,"Nothing to complain about, the entrance is tucked away off the main street and is accessed from the entrance to the bazaar. Once inside it gets better and better so don't be put off by the entrance.",-1
Luxor,Nefertiti Hotel Luxor,Pierina,Egypt,3 nights   ,February 2025,Family,Triple Room,Reviewed: 2 February 2025,location amazing walking distance luxor museum mummification museum across street luxor temple rooftop view amazing well every single staff member helpful respectful friendly breakfast delicious,showers need made proper showers thing uncomfortable,The showers need to be made as proper showers. It was the only thing that was uncomfortable.,-1
Luxor,Nefertiti Hotel Luxor,James,Hong Kong,2 nights   ,January 2025,Solo traveller,Single Room,Reviewed: 2 February 2025,lovely hotel lovely friendly staff tour booked one best ever done massive breakfast selection view restaurant incredible especially early morning see hot air balloons,negative feedback,No Negative Feedback,1
Luxor,Emilio Hotel,Mehfuz,India,3 nights   ,December 2024,Group,Double Room,Reviewed: 6 January 2025,location breakfast good timing breakfast awesome allowing go luxor early morning bathrooms recently renovated clean,negative feedback,No Negative Feedback,1
Luxor,Emilio Hotel,Thorsten,Germany,1 night   ,January 2025,Solo traveller,Single Room,Reviewed: 8 January 2025,enjoyed stay hotel emilio staff always friendly helpful really recommend place,negative feedback,No Negative Feedback,1
Luxor,Emilio Hotel,Stupig,Malaysia,1 night   ,January 2025,Couple,Double Room,Reviewed: 6 January 2025,everything,0,No,1
Luxor,Emilio Hotel,Marius,United Kingdom,1 night   ,January 2025,Solo traveller,Single Room,Reviewed: 3 January 2025,easy access train station local attractions,set expectations accommodation,Don't set any expectations for this accommodation,-1
Luxor,Emilio Hotel,Tamara,United Kingdom,3 nights   ,October 2024,Group,Double Room,Reviewed: 15 October 2024,location hotel amazing views luxor temple roof terrace drink dinner views temple sunset rooms fair enough paid bathrooms good size beds comfy air conditioning working great good experience overall,wi fi slow keeps asking introduce user ask better one since say booking offer high speed one luck also mention shuttle airport reality either offer go outside negotiate taxi driver price suits,"The Wi-Fi is VERY slow and keeps asking you to introduce the user, we did ask if they have a better one since it does say in the booking they offer a high speed one but we had no luck, also mention that they have a shuttle to the airport and is not the reality either as what they offer is to go outside to negotiate with a taxi driver a price that suits you.",-1
Luxor,Emilio Hotel,David,France,2 nights   ,December 2024,Solo traveller,Single Room,Reviewed: 1 February 2025,great location nice pool area rooms clean beds comfortable,charged arrived saying exchange rate even calculating rate still trying get pay advance breakfast average,"They charged me more when I arrived, saying about the exchange rate? But even calculating the the rate, the were still trying to get more out of you. Pay in advance. Breakfast was only average.",-1
Luxor,Emilio Hotel,Yuta,Japan,1 night   ,December 2024,Family,Double Room,Reviewed: 6 January 2025,nothing,staffs ask money hotel services weak warm shower bad outside view dark hallway lights,"staffs ask for money to any hotel services
very weak¬ warm shower
bad outside view
dark hallway(no lights)",0
Luxor,Emilio Hotel,Adam,Spain,2 nights   ,November 2024,Couple,Double Room,Reviewed: 12 November 2024,even quite dated room spotlessly clean everything worked beds comfortable sheets good quality breakfast buffet good best staff kind friendly hard working keep guests happy,negative feedback,No Negative Feedback,1
Luxor,Emilio Hotel,Claus-jörg,Germany,7 nights   ,November 2024,Couple,Double Room,Reviewed: 5 November 2024,helpfull people close main attractions perfect view luxor temple sphinx alley good restaurant reasonable prices,wifi internet close reception breakfast room,WiFi internet just close to the reception and in the breakfast room.,-1
Luxor,Emilio Hotel,Sabry,Egypt,1 night   ,February 2025,Solo traveller,Single Room,Reviewed: 2 February 2025,0,0,The Internet is very slow,2
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Medhat,Kuwait,1 night   ,December 2024,Group,Family Room,Reviewed: 21 December 2024,absolutely fantastic stay resort nile river view start finish everything exceeded expectations resort set incredible location breathtaking views nile river made every moment feel like tranquil escape staff warm welcoming incredibly attentive made sure everything needed hospitality truly stood whether helping local recommendations arranging activities went beyond ensure stay seamless enjoyable room spacious comfortable beautifully designed modern amenities maintaining sense elegance tranquility resort offered variety amazing facilities including lovely pool area excellent dining options well maintained grounds particularly enjoyed breakfast buffet great variety fresh delicious options start day overall time resort nile river view unforgettable experience looking peaceful luxurious culturally rich getaway highly recommend resort wait come back,stay short wish could stayed longer,My stay was short! I wish i could have stayed longer.,-1
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Federico,United Kingdom,3 nights   ,February 2025,Couple,Standard Double or Twin Room with Garden View,Reviewed: 7 February 2025,breakfast excellent pools incredible room clean nice,negative feedback,No Negative Feedback,1
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Monika,Spain,2 nights   ,January 2025,Family,Deluxe Double or Twin Room with Nile View,Reviewed: 30 January 2025,location incredible feels like oasis surrounded gardens beautiful pools perfect relax hotel staff organised cute little boat ride around nile us one highlights stay luxor,furniture bedrooms little outdated,The furniture in bedrooms is a little outdated.,-1
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Saeid,United Arab Emirates,2 nights   ,January 2025,Couple,Deluxe Double or Twin Room with Garden View,Reviewed: 30 January 2025,room size location cleanness staff,nothing say breakfast diverse complete,Nothing just i can say that Breakfast was not diverse and complete.,-1
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Giovanni,United Kingdom,4 nights   ,January 2025,Couple,Deluxe Double or Twin Room with Garden View,Reviewed: 28 January 2025,lots outside space large room great nile views hotel everything might need recommended,negative feedback,No Negative Feedback,1
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Catherine,United Kingdom,2 nights   ,January 2025,Couple,Deluxe Double or Twin Room with Garden View,Reviewed: 27 January 2025,peaceful location beautiful grounds facilities need comfortable,bed quite hard air con good room okay given visited january imagine frustrating summer months,"The bed was quite hard and the air-con wasn’t very good in our room, okay given we visited in January but can imagine it being very frustrating in the summer months!",-1
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Bharath,United Kingdom,4 nights   ,January 2025,Couple,Deluxe Double or Twin Room with Nile View,Reviewed: 27 January 2025,location middle nile amazing property extremely large beautiful well maintained sorts amenities staff every helpful,wi fi non existent completely relied mobile data food la carte ordered lunch dinner okay best also took lot time arrive spa quite good however expensive side need give water bottles,The Wi-Fi was non existent. Completely relied on my mobile data. The food (a la carte) we ordered during lunch and dinner was okay at best. Also took a lot of time to arrive. The spa is quite good however on the expensive side. Need to give more water bottles.,-1
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Geert,Turkey,4 nights   ,January 2025,Group,Family Room,Reviewed: 26 January 2025,spacious rooms friendly staff diversified breakfast open buffet swimpools,negative feedback,No Negative Feedback,1
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Sherine,Germany,3 nights   ,January 2025,Family,Deluxe Double or Twin Room with Garden View,Reviewed: 26 January 2025,gardens huge spaces make relaxing stay room little garden two chairs table take lengthy walks beautiful unique trees along nile edge island plants unique exquisite three large pools endless sunbeds seating options throughout huge gardens activities every age every person whether zoo children kids play areas spa massages aerobics pilates classes chess fishing activities much hotel location amazing middle nile away noise time well connected city either via taxis lined outside hotel shuttle busses free,food quality good stayed hotel several times mother booking always name thing enjoyed food delicious time experience disappointing variety big good tase quality bad bread stale three breakfasts always stale bread previous days dinner variety best okay ish taste good food bland lot seasoning missing disappointed felucca restaurant one highlights loved breakfast dinner everytime stayed time good italian restaurant good however,"The food quality is not good. I stayed at this hotel several times before with my mother (booking was always under her name), and the thing we enjoyed the most was the food, it was delicious.
This time the experience was very disappointing. The variety itself is big and good, but the tase and quality are bad. The bread is very stale, three breakfasts and it was always stale as if it was bread from the previous days. At Dinner, the variety was not the best but it was okay-ish. The taste was again not good, the food is bland, a lot of seasoning is missing. We were very disappointed because Felucca Restaurant was one of our highlights, we loved the breakfast and dinner there everytime we stayed. This time it was not good at all. The Italian restaurant was good however.",-1
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Deanne,Australia,4 nights   ,January 2025,Couple,Standard Double or Twin Room with Garden View,Reviewed: 25 January 2025,love exclusivity property beautiful grounds staff lovely food great senses became relaxed felt safe,bit distance main part luxor relaxed stay away hustle bustle property worth,It is a bit of a distance from the main part of Luxor but if you’re after a relaxed stay away from the hustle and bustle then this property is worth it.,-1
Luxor,Steigenberger Nile Palace Luxor Convention Center,Turki,Qatar,2 nights   ,January 2025,Family,Classic Room City View King Bed,Reviewed: 13 January 2025,restaurant food staff,nothing everything good,"Nothing, everything is good",-1
Luxor,Steigenberger Nile Palace Luxor Convention Center,Elmodather,Egypt,2 nights   ,February 2025,Couple,Executive Front Nile View,Reviewed: 2 February 2025,everything,nothing,Nothing,1
Luxor,Steigenberger Nile Palace Luxor Convention Center,John,United Kingdom,1 night   ,January 2025,Group,Classic Room City View King Bed,Reviewed: 1 February 2025,location restaurants service great,negative feedback,No Negative Feedback,1
Luxor,Steigenberger Nile Palace Luxor Convention Center,Khaled,Kuwait,4 nights   ,January 2025,Couple,Executive Front Nile View,Reviewed: 31 January 2025,location nile booked nile view room got upgraded larger room restaurants good tasting food italian thai lebanese plus international restaurant reasonable prices general,double bed king bed cm small take twin room instead much bigger privacy room balcony though guests see adjacent rooms others,"Their double bed is NOT king bed (160 cm) which small , so we have to take twin room instead (much bigger). 
No privacy in the room’s balcony though as other guests can see you (adjacent rooms or others.",-1
Luxor,Steigenberger Nile Palace Luxor Convention Center,Terry,United Kingdom,5 nights   ,January 2025,Group,Classic Room City View,Reviewed: 30 January 2025,everything,everything,Everything,-1
Luxor,Steigenberger Nile Palace Luxor Convention Center,Ahmed,Egypt,1 night   ,January 2025,Couple,Presidential Suite,Reviewed: 29 January 2025,fantastic experience especially front desk team,negative feedback,No Negative Feedback,1
Luxor,Steigenberger Nile Palace Luxor Convention Center,Bashar,United States,2 nights   ,January 2025,Couple,Classic Room City View King Bed,Reviewed: 25 January 2025,great location minutes away luxor temple staff amazing got upgraded charge amazing view nile pool facility multiple restaurants high quality food,negative feedback,No Negative Feedback,1
Luxor,Steigenberger Nile Palace Luxor Convention Center,Zeynep,United States,1 night   ,January 2025,Family,Executive Room Side Nile View,Reviewed: 21 January 2025,overall pleasant stay although room slightly compact charming balcony stunning view nile made hotel concierge able arrange last minute sunrise felucca ride turned memorable experience overall staff friendly accommodating making stay truly enjoyable,negative feedback,No Negative Feedback,1
Luxor,Steigenberger Nile Palace Luxor Convention Center,Kristine,United States,3 nights   ,December 2024,Family,Executive Room Patio view,Reviewed: 19 January 2025,beautiful property right nile pool kids enjoy downtime breakfast phenomenal,arrived late night flight delays long travel day way hotel grabbed quick takeout food bring eat rooms bed staff absolutely refused us bring outside food premises group people several rooms booked three nights would make exception seven hangry children choice sit sidewalk outside entryway stuff dinner husband ended throwing dinner away check process took long needless say terrible frustrating first impression,"We arrived late at night after flight delays and a long travel day. On our way to the hotel we grabbed quick takeout food to bring and eat in our rooms before bed. The staff absolutely refused for us to bring the outside food into the premises. We had a group of 15 people with several rooms booked for three nights and they would not make an exception. We had seven hangry children and had no choice but to sit on the sidewalk outside of the entryway and stuff down our dinner. My husband ended up throwing his dinner away as the check-in process took so long. Needless to say, this was a terrible, frustrating first impression.",-1
Luxor,Steigenberger Nile Palace Luxor Convention Center,Jamaica,Australia,2 nights   ,January 2025,Family,Classic Room City View King Bed,Reviewed: 12 January 2025,upgraded nile view nice guys thanks lot ahmed mary reception kind,clean,Very clean,-1
Luxor,Steigenberger Resort Achti,William,United Kingdom,4 nights   ,November 2024,Family,Superior Twin Garden view (Bungalow),Reviewed: 6 November 2024,boat resort taxi available time great addition trip,food offert huge time bit tasteless think smaller offer traditional local flavour would nice,"The food offert was huge but at time a bit tasteless , I think a smaller offer with more traditional ( local) flavour would be nice",-1
Luxor,Steigenberger Resort Achti,Gökhan,Turkey,2 nights   ,February 2025,Family,Superior Twin Garden view (Bungalow),Reviewed: 7 February 2025,good location great staff great food,negative feedback,No Negative Feedback,1
Luxor,Steigenberger Resort Achti,Sina,France,3 nights   ,February 2025,Solo traveller,Superior Twin Plus Garden View (Bungalow),Reviewed: 7 February 2025,everything great clean quiet room also location ok,understand much security cairo front door hotel,"I don't understand too much security in Cairo!in front of the door, then in the hotel and ....",-1
Luxor,Steigenberger Resort Achti,Xuhuan,China,2 nights   ,January 2025,Family,Classic Twin Room,Reviewed: 7 February 2025,good location friendly staff,negative feedback,No Negative Feedback,1
Luxor,Steigenberger Resort Achti,Despoina,Greece,2 nights   ,February 2025,Couple,Deluxe King Nile View,Reviewed: 7 February 2025,seen breakfast buffet like years,negative feedback,No Negative Feedback,1
Luxor,Steigenberger Resort Achti,Halil,Turkey,2 nights   ,February 2025,Group,Classic King Room,Reviewed: 6 February 2025,everything especially staff,nothing,Nothing :),1
Luxor,Steigenberger Resort Achti,Patrick,Colombia,1 night   ,February 2025,Family,Superior King Garden View (Bangalow),Reviewed: 6 February 2025,great stay nice hotel great outside space nile bank exceptionally nice reception specially wanted mention receptionist magda fabulous left us smiling big time finally check,negative feedback,No Negative Feedback,1
Luxor,Steigenberger Resort Achti,Jeong,Jordan,2 nights   ,February 2025,Family,Superior Twin Plus Garden View (Bungalow),Reviewed: 4 February 2025,good staff helped afford appreciate service caring place worthy stay even quiet great nail river view special thanks mustafa reception,onething outside sound loud ferry kids swimming pool bit cold,"But onething, outside sound was loud(from ferry and kids from swimming pool) and a bit cold.",-1
