City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) Deals",Steigenberger Resort Achti,Scored 8.6,9,8.7,8.9,9,8.6,9.1,8.4
MRHostel Luxor (Hostel) (Egypt) Deals,MRHostel Luxor,Scored 9.5,9.9,9.3,9.5,9.6,9.8,9.8,8.5
Iberotel Luxor (Hotel) (Egypt) Deals,Iberotel Luxor,Scored 8.5,8.9,8.5,8.7,8.8,8.4,9.4,7.3
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Scored 8.5,9.4,8.2,8.6,8.5,8.9,9.5,7.6
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) Deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,9,9.1,9.3,9.2,8.8,9.2,8.3
Pyramisa Hotel Luxor (Hotel) (Egypt) Deals,Pyramisa Hotel Luxor,Scored 8.3,8.9,8.2,8.5,8.5,8.3,9.2,6
"Anglo Hotel (Hotel), Luxor (Egypt) Deals",Anglo Hotel,Scored 5.9,6.1,6.1,6.1,6.6,6.6,7.6,No Rate
"Rezeiky Hotel & Camp (Campground), Luxor (Egypt) Deals",Rezeiky Hotel & Camp,Scored 8.1,9.1,7.8,8,8,8.5,8.9,8.5
Tokyo House Luxor (Apartment) (Egypt) Deals,Tokyo House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
The Temple Hotel & Spa Luxor (Hotel) (Egypt) Deals,The Temple Hotel & Spa Luxor,Scored 8.9,9.3,9,9.2,9.2,9.1,9,8.7
"New Winter Apartment (Apartment), Luxor (Egypt) Deals",New Winter Apartment,Scored 10,10,10,10,10,10,10,No Rate
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) Deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.3,9.4,9,9.4,8.4
Grand Square Hostel Luxor (Hostel) (Egypt) Deals,Grand Square Hostel Luxor,Scored 8.5,9.5,8,8,8.1,9,9.3,7.5
"أهلا بكم (Apartment), Luxor (Egypt) Deals",أهلا بكم,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Lotus Luxor Hotel (Hotel) (Egypt) Deals,Lotus Luxor Hotel,Scored 8.5,8.8,8.5,8.7,8.8,8.7,9.2,8.8
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) Deals,Aracan Eatabe Luxor Hotel,Scored 8.6,9.2,8.6,8.8,8.9,8.6,9.6,6.8
"Kemet House (Guesthouse), Luxor (Egypt) Deals",Kemet House,Scored 9.9,9.9,9.8,9.8,9.9,9.9,9.9,9.4
"Old Winter Apartment (Apartment), Luxor (Egypt) Deals",Old Winter Apartment,Scored 9.3,9.5,9.2,9.4,9.4,9.5,9.5,10
Studio House Luxor (Apartment) (Egypt) Deals,Studio House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Happy Land Luxor (Hostel) (Egypt) Deals,Happy Land Luxor,Scored 8.2,9.1,7.8,8,7.9,8.8,8.6,6.4
"Abeer Guest House (Guesthouse), Luxor (Egypt) Deals",Abeer Guest House,Scored 9.5,9.9,9.3,9.4,9.4,9.7,9.4,10
"Malkata House - Boutique hotel and restaurant (Apartment), Luxor (Egypt) Deals",Malkata House - Boutique hotel and restaurant,Scored 9.5,9.8,9.4,9.6,9.6,9.3,9.4,8
"Full Moon House (Apartment), Luxor (Egypt) Deals",Full Moon House,Scored 9.2,9.4,9,9,9.2,9.5,9.4,9.7
"Oasis hotel (Hotel), Luxor (Egypt) Deals",Oasis hotel,Scored 8.1,9.3,7.4,7.6,7.7,8.8,9.3,7.6
"Jurf El Nil Apartments (Apartment), Luxor (Egypt) Deals",Jurf El Nil Apartments,Scored 10,10,10,10,10,10,10,10
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Scored 8.5,9.4,8.2,8.6,8.5,8.9,9.5,7.6
"Toutankhamon (Guesthouse), Luxor (Egypt) Deals",Toutankhamon,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) Deals",Steigenberger Resort Achti,Scored 8.6,9,8.7,8.9,9,8.6,9.1,8.4
Iberotel Luxor (Hotel) (Egypt) Deals,Iberotel Luxor,Scored 8.5,8.9,8.5,8.7,8.8,8.4,9.4,7.3
The Temple Hotel & Spa Luxor (Hotel) (Egypt) Deals,The Temple Hotel & Spa Luxor,Scored 8.9,9.3,9,9.2,9.2,9.1,9,8.7
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) Deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,9,9.1,9.3,9.2,8.8,9.2,8.3
"New Winter Apartment (Apartment), Luxor (Egypt) Deals",New Winter Apartment,Scored 10,10,10,10,10,10,10,No Rate
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) Deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,9.5,9.2,9.5,9.5,9.1,9.4,8.8
"Kemet House (Guesthouse), Luxor (Egypt) Deals",Kemet House,Scored 9.9,9.9,9.8,9.8,9.9,9.9,9.9,9.4
