city_name,reviewer_name,reviewer_nationality,review_text,review_date,travel_type
Sharm El Sheikh,Eugert,Albania,Tutto era perfetto la guida gilberto era super un viaggio da fare tutto molto bello,"Posted August 26, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Abdelmounaim,Belgium,Best value for money,"Posted August 13, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Anonymous,NULL,The overall experience was ok. However the food was not according to expectation and turned lights off while we were eating. BBQ dinner was not enough .A miscommunication at start as we were asked to pay more for quad bike. Toilet was blocked no water for hand wash for men. Poorly organised venue. A bit disappointing for our expectations.,"Posted August 08, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Ibrahim,Nigeria,"I had an exhilarating experience. The tour guide was very friendly. I really enjoyed all the activities, the quad bike ride across the safari, the fire show, the camel ride, echo mountain etc. Definitely a major highlight of my stay in Sharm.","Posted July 24, 2024 on Booking.com",Visited with friends
Sharm El Sheikh,Imran,Switzerland,"Very good, kids enjoyed it’s bit hot in July but it’s fun 👍🏽","Posted July 21, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Anonymous,NULL,NULL,"Posted July 13, 2024 on Booking.com",Visited with family
Sharm El Sheikh,BRANISLAV,Slovakia,"In general very good experience, desert is amazing, camel ride unforgettable, all shows interesting. What I did not understand we bought two tickets, both tickets had the same price but we did not get two atv’s but one double. This is not mentioned anywhere and it was our first disappointment, second, they tell you show will take 2.5hour but it means you wait 2 hours until it starts. In total it takes 7 hrs - at 15 we were picked up from the hotel at 22 we were back.","Posted June 01, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,humza,United Kingdom,"abdur rahman was very very very good, we highly recommend him, he was the best guide we could wish for .. the dinner , the quad, the camel riding, night show was very good...","Posted May 27, 2024 on Booking.com",Visited with friends
Sharm El Sheikh,Daniella,Australia,"This was by my far my favourite experience in a long while! It was so fun to be on the quads venturing through the desert and the mountains. We drove on the quads from stop to stop. We stopped to take photos with the mountains and Mostafa was brilliant as a photographer! We laughed a lot, we rode a camel and ended up watching an outstanding range of performances with one of the best meals I had in Egypt! I would recommend this experience - it was great value!","Posted May 01, 2024 on Booking.com",Visited solo
Sharm El Sheikh,Anonymous,NULL,There are no comments available for this review,"Posted November 27, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,LAURA,United Kingdom,"Amazing experience 😁 the whole crew was very helpful, fun... And the landscapes were truly amazing 😍","Posted November 11, 2024 on Booking.com",Visited solo
Sharm El Sheikh,HOAY WAN,Singapore,More time can be spent on activities rather than waiting for departure,"Posted September 14, 2024 on Booking.com",Visited solo
Sharm El Sheikh,Mohammed,United Kingdom,Absolutely brilliant and beautiful,"Posted September 08, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Jolene,United Kingdom,NULL,"Posted August 26, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Anonymous,NULL,"It is recommended trip to Sharm visitors. However, I will mention some of the points that I don’t like. 1. Picked up at 7:45 am and waiting till 11:00 in the marina. 2. Unhappy staff 3. Lunch was good but I don’t know why the serving was per minimum. 4. Even though the drinks was included but no offer it. 5. The boat stopped working on the way back which delayed us from getting off. 6. The return driver was impolite and not professional. He asked me to get off 2Km away from my hotel and he made a miss when I asked him to drop us from the original pick up point. My recommendation is to ask about the boat name and read the customers reviews since you can from a hundred boats at the marina.","Posted August 12, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Anonymous,NULL,"The initial wait was way too long and way too hot. Everything else was superb. What an amazing professional experience. Bring sunblock, hats, towels and snacks.","Posted August 08, 2024 on Booking.com",Visited with friends
Sharm El Sheikh,Hosam,Egypt,It is an amazing experience with a lot of red gold fish around the coral reefs but the whole journey has some drawbacks like the marina’s area is very crowded and it took a lot of time for the yacht to depart with the smell of gas from all the yachts are in your nose. At Ras Mohamed the snorkeling is not fun due to the large number of people doing snorkeling at the sam time and the short time allowed.,"Posted August 04, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Nassim,Algeria,"Elite VIP Yacht was very nice, the team was very friendly and helpful, i really enjoyed my time with them. Thank you Mustapha (snorkeling assistant) and thanks to the whole team.","Posted July 06, 2024 on Booking.com",Visited solo
Sharm El Sheikh,ES,Egypt,"This was one of the best boat trips I've ever taken, and I will definitely do it again. The staff are incredibly friendly, and the boat leader is a true professional. The introduction and all the basics were explained very clearly and were easy to follow. Highly recommend. Thank you! ✨","Posted June 30, 2024 on Booking.com",Visited solo
Sharm El Sheikh,Karokh,United Kingdom,We enjoyed our day thanks to all staff on the boat they did remarkable service to our family,"Posted June 01, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,VIDULA,United Kingdom,There are no comments available for this review,"Posted November 13, 2024 on Booking.com",Visited with a partner or spouse
Sharm El Sheikh,Anonymous,NULL,There are no comments available for this review,"Posted December 05, 2024 on Booking.com",Visited with friends
Sharm El Sheikh,Mihail,NULL,There are no comments available for this review,"Posted November 28, 2024 on Booking.com",Visited with family
Sharm El Sheikh,Awni,Saudi Arabia,There are no comments available for this review,"Posted November 25, 2024 on Booking.com",Visited with family
