City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi
Pickalbatros Laguna Club Resort Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Laguna Club Resort Sharm El Sheikh,Scored 9.7,9.8,9.7,9.8,9.8,9.6,9.5,8.3
Aida Hotel Sharm El Sheikh (Hotel) (Egypt) Deals,Aida Hotel Sharm El Sheikh,Scored 6.6,8.1,6.7,6.5,6.8,7.7,8.1,6.6
"Jaz Sharks Bay (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Sharks Bay,Scored 8.2,9.0,8.3,8.5,8.5,8.6,7.9,8.7
"Xperience Hill-Top Beach Resort (Resort), Sharm El Sheikh (Egypt) Deals",Xperience Hill-Top Beach Resort,Scored 9,9.5,8.7,8.8,9.2,9.3,9.3,6.5
"Siva Sharm Resort & SPA - Couples and Families Only (Resort), Sharm El Sheikh (Egypt) Deals",Siva Sharm Resort & SPA - Couples and Families Only,Scored 5.4,6.7,5.8,5.9,6.1,6.4,7.6,3.5
"Delta Sharm Resort 202-105 (Apartment), Sharm El Sheikh (Egypt) Deals",Delta Sharm Resort 202-105,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Elisir Spa Pool View (Resort), Sharm El Sheikh (Egypt) Deals",Elisir Spa Pool View,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Meraki Resort Sharm El Sheikh Adults only (Resort) (Egypt) Deals,Meraki Resort Sharm El Sheikh Adults only,Scored 9.3,9.4,9.5,9.5,9.4,9.1,9.6,8.7
"Studio (Apartment), Sharm El Sheikh (Egypt) Deals",Studio,Scored 9.1,9.7,9.6,9.4,9.4,9.7,9.4,10
Meraki Resort Sharm El Sheikh Adults only (Resort) (Egypt) Deals,Meraki Resort Sharm El Sheikh Adults only,Scored 9.3,9.4,9.5,9.5,9.4,9.1,9.6,8.7
Pickalbatros Laguna Club Resort Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Laguna Club Resort Sharm El Sheikh,Scored 9.7,9.8,9.7,9.8,9.8,9.6,9.5,8.3
"sharks bay oasis (Hotel), Sharm El Sheikh (Egypt) Deals",sharks bay oasis,Scored 7.5,8.2,7.1,7.1,7.3,8.2,7.9,No Rate
"Cleopatra Luxury Resort Sharm - Adults Only 16 years plus (Hotel), Sharm El Sheikh (Egypt) Deals",Cleopatra Luxury Resort Sharm - Adults Only 16 years plus,Scored 9.4,9.5,9.4,9.5,9.6,9.3,9.3,7.7
"Jaz Belvedere Resort (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Belvedere Resort,Scored 9.3,9.6,9.3,9.5,9.5,9.4,9.3,8.0
"Sharm Resort (Hotel), Sharm El Sheikh (Egypt) Deals",Sharm Resort,Scored 8,8.4,7.8,7.8,7.9,8.4,8.7,5.5
"Ghazala Gardens (Resort), Sharm El Sheikh (Egypt) Deals",Ghazala Gardens,Scored 7.5,8.6,7.4,7.4,7.5,8.1,9.1,6.3
The Grand Hotel Sharm El Sheikh (Resort) (Egypt) Deals,The Grand Hotel Sharm El Sheikh,Scored 9,9.3,8.9,9.0,8.9,9.2,9.3,No Rate
"Jaz Fanara Resort (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Fanara Resort,Scored 8.9,9.3,8.9,9.1,9.1,9.0,9.4,6.8
"Jaz Mirabel Resort (Resort), Sharm El Sheikh (Egypt) Deals",Jaz Mirabel Resort,Scored 8.8,9.2,8.8,9.0,8.9,8.6,8.8,7.8
"Serenity Lodge (Bed and Breakfast), Sharm El Sheikh (Egypt) Deals",Serenity Lodge,Scored 8.1,9.1,7.9,8.0,7.9,8.6,7.9,7.3
"Ghazala Beach (Resort), Sharm El Sheikh (Egypt) Deals",Ghazala Beach,Scored 8,8.8,7.7,7.9,8.0,8.2,9.4,6.4
Cleopatra Luxury Resort Sharm El Sheikh (Resort) (Egypt) Deals,Cleopatra Luxury Resort Sharm El Sheikh,Scored 9.1,9.4,9.3,9.4,9.4,9.1,9.3,7.5
"Dive Inn Resort (Resort), Sharm El Sheikh (Egypt) Deals",Dive Inn Resort,Scored 8.8,9.1,8.9,9.0,8.9,9.2,8.9,7.5
"Sunrise Diamond Beach Resort -Grand Select (Resort), Sharm El Sheikh (Egypt) Deals",Sunrise Diamond Beach Resort -Grand Select,Scored 9.7,9.7,9.7,9.7,9.7,9.6,9.7,9.0
"VIE Palma Di Sharm Resort and Aqua park (Hotel), Sharm El Sheikh (Egypt) Deals",VIE Palma Di Sharm Resort and Aqua park,Scored 8.3,8.8,8.4,8.7,8.5,8.7,8.6,No Rate
"Naama Bay Promenade Beach Resort Managed By Accor (Resort), Sharm El Sheikh (Egypt) Deals",Naama Bay Promenade Beach Resort Managed By Accor,Scored 7.9,8.7,7.9,8.1,8.1,7.7,8.9,8.6
"DoubleTree by Hilton Sharks Bay Resort (Resort), Sharm El Sheikh (Egypt) Deals",DoubleTree by Hilton Sharks Bay Resort,Scored 8.8,9.2,8.8,9.0,9.1,8.8,9.1,8.7
"Naama Blue Hotel (Resort), Sharm El Sheikh (Egypt) Deals",Naama Blue Hotel,Scored 7.9,8.4,8.0,8.2,8.2,8.7,9.0,6.7
Pickalbatros Aqua Blu Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Sharm El Sheikh,Scored 9.4,9.6,9.5,9.5,9.5,9.3,9.4,8.5
"V Hotel Sharm El Shiekh (Resort), Sharm El Sheikh (Egypt) Deals",V Hotel Sharm El Shiekh,Scored 8.7,9.0,8.8,8.8,8.8,8.8,9.0,7.8
"Safir Sharm Waterfalls Resort (Resort), Sharm El Sheikh (Egypt) Deals",Safir Sharm Waterfalls Resort,Scored 9.2,9.6,9.0,9.2,9.3,9.2,9.5,8.8
"Gafy Resort Aqua Park (Resort), Sharm El Sheikh (Egypt) Deals",Gafy Resort Aqua Park,Scored 7.3,7.9,7.6,7.6,7.7,7.7,8.9,7.6
"Hotel Novotel Sharm El-Sheikh (Resort), Sharm El Sheikh (Egypt) Deals",Hotel Novotel Sharm El-Sheikh,Scored 9.2,9.3,9.2,9.3,9.3,9.0,9.5,8.0
Aida Hotel Sharm El Sheikh (Hotel) (Egypt) Deals,Aida Hotel Sharm El Sheikh,Scored 6.6,8.1,6.7,6.5,6.8,7.7,8.1,6.6
Pickalbatros Laguna Club Resort Sharm El Sheikh (Resort) (Egypt) Deals,Pickalbatros Laguna Club Resort Sharm El Sheikh,Scored 9.7,9.8,9.7,9.8,9.8,9.6,9.5,8.3
"Apartment at Sunterra Village, Sharm El Sheikh (Apartment) (Egypt) Deals","Apartment at Sunterra Village, Sharm El Sheikh",No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
