Name,Link,Is_Scraped
Meraki Resort Sharm El Sheikh Adults only,https://www.booking.com/hotel/eg/meraki-resort-sharm-el-sheikh.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Pickalbatros Laguna Club Resort Sharm El Sheikh,https://www.booking.com/hotel/eg/pickalbatros-laguna-club-resort-sharm-el-sheikh-adults-only-16.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
sharks bay oasis,https://www.booking.com/hotel/eg/sharks-bay-oasis-shrm-lshykh.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Cleopatra Luxury Resort Sharm - Adults Only 16 years plus,https://www.booking.com/hotel/eg/cleopatra-luxury-resort-aquarium.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Jaz Belvedere Resort,https://www.booking.com/hotel/eg/sol-y-mar-belvedere.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from_sustainable_property_sr=1&from=searchresults,True
Sharm Resort,https://www.booking.com/hotel/eg/sharm-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Ghazala Gardens,https://www.booking.com/hotel/eg/ghazala-gardens.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
The Grand Hotel Sharm El Sheikh,https://www.booking.com/hotel/eg/the-grand-ssh.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Jaz Fanara Resort,https://www.booking.com/hotel/eg/iberotel-club-fanara-residence.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from_sustainable_property_sr=1&from=searchresults,True
Jaz Mirabel Resort,https://www.booking.com/hotel/eg/jaz-mirabel-beach.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from_sustainable_property_sr=1&from=searchresults,True
Serenity Lodge,https://www.booking.com/hotel/eg/serenity-sharm-el-sheikh-south-sinai-governate.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=11&hapos=11&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
Ghazala Beach,https://www.booking.com/hotel/eg/ghazala-beach.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoDku70GwAIB0gIkZmE4MTAxNmItZGRiOC00ZGNjLWIxZDUtM2RjZGQ0ZWYxNmRl2AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-302053&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=12&hapos=12&sr_order=popularity&srpvid=229b3753a29600e3&srepoch=1739519528&from=searchresults,True
