Name,Link,Is_Scraped
Steigenberger Resort Achti,https://www.booking.com/hotel/eg/sheraton-luxor-resort.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from_sustainable_property_sr=1&from=searchresults,True
MRHostel Luxor,https://www.booking.com/hotel/eg/mrhostel-luxor.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from=searchresults,True
Iberotel Luxor,https://www.booking.com/hotel/eg/iberotel-luxor.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from_sustainable_property_sr=1&from=searchresults,True
Nefertiti Hotel Luxor,https://www.booking.com/hotel/eg/nefertiti.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from=searchresults,True
Jolie Ville Hotel & Spa Kings Island Luxor,https://www.booking.com/hotel/eg/jolie-ville-kings-island-luxor.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from=searchresults,True
Pyramisa Hotel Luxor,https://www.booking.com/hotel/eg/pyramisa-isis-suites-luxor.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from=searchresults,True
Anglo Hotel,https://www.booking.com/hotel/eg/angelo-luxor.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from=searchresults,True
Rezeiky Hotel & Camp,https://www.booking.com/hotel/eg/rezeiky-campsite-and-luxor.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from=searchresults,True
Tokyo House Luxor,https://www.booking.com/hotel/eg/tokyo-house-al-qarna.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from=searchresults,True
The Temple Hotel & Spa Luxor,https://www.booking.com/hotel/eg/the-temple.html?label=gen173nr-1FCAEoggI46AdIM1gEaEOIAQGYATG4ARfIAQ_YAQHoAQH4AQKIAgGoAgO4AoaW3L0GwAIB0gIkYmU1OTg0NDQtMTI2Zi00ZGViLWIzZTctZmU3Mjk4YjQ4MGI12AIF4AIB&aid=304142&ucfs=1&arphpl=1&dest_id=-290821&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=11864df8765207a4&srepoch=1740049522&from=searchresults,True
