City,Reviewer Name,Review Title,Positive Review,Negative Review
Sharm-ElSheikh,Raghda,Wonderful,Facilities and Staff,No Negative Review
Sharm-ElSheikh,Gündüz,Excellent,"Everything was perfect, all hotel crews are so kind. Meals are prepared to appeal to all people. I loved!",No Negative Review
Sharm-ElSheikh,Mandy,unbelievable relaxation experience,"impeccable cleanliness with the manager checking regularly with spot checks. the staff were unreal in their desire to make your stay amazing. constantly asking if you need anything. as 1guest put it....they treat you like it's the first day of the season...every day. I would say....they treat you like you're the only guest in the resort every day. posh club is just the best holiday experience I have ever had. when we complained about our room overlooking some building works that were ongoing....we were moved immediately and sent flowers every day afterwards. posh club dining is equivalent to any Michelin star restaurant you can mention. we ate there every night. just 

fabulous.",posh club should be adults only although kids were well behaved. in the adult only pool areas....children were sometimes allowed in until I complained and said I would report to their manager. main restaurant...loads of choice but noisy and bit like a cafe at night. same for indian and small portions there too.
Sharm-ElSheikh,Alaere,Exceptional,"The resort is beautiful, and the vibe is exciting. The staff were welcoming and ensured my stay was relaxing. I will definitely visit in the near future.",No Negative Review
Sharm-ElSheikh,Elena,Wonderful,"Beautiful sea and location, comfortable and picturesque passage to the sea through a row of terraces. Natural landscape protects the beach from the wind. Well maintained cute garden. Good buffet choice caters to various tastes. Spacious rooms.",Restaurant service is not extraordinary. The choice of alcohol drinks and cocktails leaves much to be desired.
Sharm-ElSheikh,Hannah,Unforgettable stay due to the Posh Club team!,"Our stay at White Hills Resort is one we’ll never forget. We are so glad that we paid extra for Posh Club as the staff here made our holiday so special! The restaurant manager Mohammed and all his team were incredible, our butlers Tamer and Ahmed looked after us so well, the barman Abdel made the best cocktails and Louela and Nada made sure everything with our stay went smoothly. When my husband got ill they made special food and brought it to the room and on my birthday they made a cake and put flowers in our room! When we booked a 4am trip to the pyramids they made sure we had breakfast boxes and took us to meet the pick up van. We have never experienced such a wonderful team of staff on any other holiday ever, thank you!!

The hotel itself was beautiful and very clean and all the staff were so friendly. We had a swim up room with an ocean view and it was amazing! Our room was cleaned every day to a high standard and our fridge filled. We loved all the little touches in the room - flowers, sweet treats, full fridge etc. Anything we needed our butler Tamer sorted right away - extra hangers, different pillow, iron and board etc, we had everything! 

We ate at all the included restaurants and Posh Club was our favourite however the Indian and Asian were amazing!! Don’t miss these out! The Mediterranean was good for lunch and nice beach location. The beach was very busy during our stay as it was the school holidays so we chilled by our swim up each day.

The entertainment was okay with lots of variety, some of the dance shows were really good. We really enjoyed the live music at Posh Club each night, very chilled vibes. 

Overall our stay was truly magical and we will definitely be back in the future! Hotel managers - you have got an absolutely brilliant team at Posh Club, make sure you look after them because they are doing the most fantastic job, you are lucky to have them!!","The only negative things I’d say about our stay was the buffet restaurant was much too overcrowded (you were literally fighting for a table when it opened on some nights) and lots of the food was either overcooked or cold depending on the time you went. The staff on the door need to stop letting people in when it’s full because we couldn’t even get a table one night. 

We were also disappointed to find out two of the restaurants (Turkish and Seafood) weren’t included in the all inclusive package which is very strange considering it’s called an all inclusive hotel. We’ve never experienced this before in any 5* all inclusive resorts we’ve stayed in. These restaurants were always virtually empty too so it seems like a waste. 

Other than this our stay was perfect!"
Sharm-ElSheikh,Khalid,Very Good,"The staff, food were great, service was amazing","Insect in the room was annoying, fire alarm was giving false alarm 3-4 times, specially at night while sleeping"
Sharm-ElSheikh,Dominika,Exceptional,Tamer and all staff is amazing. Posh Club is fantastic. Thank you so much everything. You work so hard. ♡,No Negative Review
Sharm-ElSheikh,Rawan,Good day,"The resort was clean and view was amazing , enjoyed the activities they had and the we tried only the indian restaurant and was reaallly good , make sure to try it . I liked the ocean it was like crystal .","- the gulf car always late though it’s 5 stations only .
- there was diversity in breakfast but didn’t like any.
- one day we were prepared based on the activity schedule but suddenly it changed . It was a bit disappointing."
Sharm-ElSheikh,Osama,Exceptional,"Privacy and safety, activities, stuff, food, and facilities, but let me say that it's about the professional management team doing a great job from the back of seen to keep figuring all things up , about hospitality they're they master's",Maybe nothing
Sharm-ElSheikh,Capita_,Exceptional,"Every thing was wonderful. 
Eat , services and personal stuff.",No Negative Review
Sharm-ElSheikh,Aiga,Wonderful,"Sea, sun, great staff, and Oksana geast relations and Oksana animation team were amazing. we will come back","Hotel did not have baby potty. However, cleaning team went out and about and bought us one. that for us - doors keys were not up to scratch"
Sharm-ElSheikh,Ibrahim,worth the stay,"The layout of place is stunning. As soon as you go out of the main hotel towards the rooms, it's like a pretty Italian style village. very classy and comfortable.

The Roman pool was fantastic to swim in. the gardens are excellent, the place is generally clean through out. 

the sun decking area is great. different levels to relax and enjoy the sun and sea. 

because there isn't a beach you have to walk over the coral via a floating bridge and then jump into the sea. and you can start snorkeling straight away. we saw blue spotted sting ray plus many other amazing fishes. the water is so clear, clean and beautiful.

you can organise and start your activities from there too. 

the food is fine. beef and the kebabs were my favourite. someone to make your omelette the way you like and plenty to choose from. 

I got a great massage in the spa. sold by Osama and Ahmed was my masseuse. he did good. 

customer service was very good throughout the trip. 
do give a tip to the waiters etc. 

I found out later they had a family room, I will use that next time I come with kids. Ahmed Ibrahim was a very nice friendly manager.","Location is far from the main road. like 3km before you see shops. the area is getting developed. so to go to other areas you'll need a taxi. hotel is convenient, haggle but still expensive. once you get to town you can take numbers of other drivers or download in-drive app another UK tourist advised me. 

I'm not a fan of bath tubs and curtains. the shower and the curtain can be updated.

the mattress can also be updated too. but it was still clean and comfortable to sleep in. 

ground floor rooms have a lot of mosquitos. ask reception for help in this. the WiFi is very expensive, your better off getting an Egyptian SIM card. it's so much cheaper and much better. I think I paid 10€ for 13GB data to last a month. the hotel charges $20 for WiFi only. 
,"
Sharm-ElSheikh,Mohamed,Short,"Rooms
Nice cleaning 
Good staff",Breakfast/Food
Sharm-ElSheikh,Coralie,Very good Price vs Quality!,"The quiet Beach, the spot for snorkelling is amazing , Staff was super Nice (Beach, bar, réception, restaurant, room etc ..),the Diving Center , The Libanese Restaurant","Food at buffet is so so but for This Price , dont complain!"
Sharm-ElSheikh,Mikhail,Highly recommend,"Very friendly and welcoming staff, good choice of food from bbq chicken, roast beef/ lamb to seafood and fish, plenty of green salads and cakes. However, do not expect burgers.
Absolutely lovely and clean private beach with access to coral reef with planty of different type of fish. But you find out of date sun beds which should be replaced.
Do expect to go up and down the stairs from the main restaurant to sea front and bar.",No Negative Review
Sharm-ElSheikh,Olga,Thank you for your hospitality. We will come again.,"Very good value for money. We got more than we expected for the price. Attentive staff, large rooms, beach, access to water, beautiful house reef, varied food.","Slippers are needed in the room, the floor is cold. And fumitox for mosquitoes, they bite. In the shower you need your own shampoos and conditioners, in the room there is only shower gel."
Sharm-ElSheikh,Ahmed,They need to take care about cleaning and variety of food specially in lunch,Location and Facilities,"Food ,Cleaning and Furniture"
Sharm-ElSheikh,Larisa,Excellent reefs),"The beach and coral reefs were excellent,I really enjoyed snorkeling with colorful fish)
In fact, the hotel is very beautiful, with interesting architectural ideas and interior design, but requires investment in renovation or/and general cleaning.
The hotel staff is very polite and helpful. Many thanks to the receptionists and their boss for their responsiveness and great service!
It is worth to mention that croissants and sweets were amazing)","-Too firm pillows and matresses
-Unsanitary conditions in the restaurant and especially in the tea/coffee area
-No variety of dishes for people with dietary requirements 
-Dirty curtains spoil the overall appearance of the room and make you reluctant to touch them
- Be prepared to fight mosquitos("
Sharm-ElSheikh,Mervat,Good,The view was good the reception staff were helpful especially Mohamad Taha,"The food was below average same things everyday.
The room needs refurbishment the bathroom was horrible. Very old"
Sharm-ElSheikh,Suzie,I am a world traveler and I was so happy with the vibe of the brand new property! I will return there for sure!,The hotel is truly amazing! Better than Foir Seasons and the staff is just so perfectly trained !,The SPA should get a good branded line.
Sharm-ElSheikh,Aira,Will recommend as all inclusive resort for adults,"The food it was delicous in multiple restaurants, rooms are way too white for our liking, close to the airport (20min), the hotel has a lovely beach for snorkelling.","Some of the staff (reception and reception bar) were not too friendly or willing, it felt like they juts did not want to help."
Sharm-ElSheikh,Megan,حلوه,Mahmoud,There were a few imperfections in the pool and in the hotel bathrooms like paint work and some of the doors were not clean
Sharm-ElSheikh,Lyan,A very good place to visit and relax,"The facilities were very clean
Good food 
Plenty of good drinks
The staffs were very friendly 
The place was aesthetically pleasing",Nothing
Sharm-ElSheikh,Federica,Exceptional,"We both come from the hotel industry and hospitality and are more than satisfied with Meraki!! We had the pleasure of staying at this establishment recently, and it was an absolutely wonderful experience!

First and foremost, the atmosphere was simply amazing. There’s something special about the way they’ve created such a relaxing and enjoyable environment that stands out. All the staff is super welcoming, always smiley and helpfull! They went above and beyond to ensure all our needs were met. You can feel everyone just loves to work here, which is very rare to see.

The place was very clean. Everything from the rooms, to the restaurants, common areas and pools, have been cleaned every single day and all day long!!

The food was very good!! Every meal was delicious, fresh, and thoughtfully prepared, making dining here an absolute highlight.

The hotel is really well located, 10 minutes by car from the airport.

Great see view, with incredible sunrises and sunsets. The hotel is located directly in front of the beautiful coral reef, amazing for snorkel and also diving.

After check-out we could stay all day long at the hotel, and still get all the all-inclusive amenities for no extra charge. That's something we really appreciated.

A big thank you goes to the people that made our stay really incredible.

Ahmed Gamal, the kind and professional waiter from Munchery. We ate almost everyday here only to get his good service!!

Eslam the friendly baarkeeper in the lobby bar!!

Ahmed from the housekeeping, he always greeted us with a big smile and made sure we always had everything. Cleaned our room everyday in a impeccable way!!

The entertainment guys, are just amazing!! They involved us in different activities, games, shows and nights out. Ahmed, Kareem, Mohamed and Tony had us laugh all day long!

Overall, this place is truly special. I highly recommend it for anyone looking for an unforgettable experience.
We'll definitely be returning as soon as possible!!",No Negative Review
Sharm-ElSheikh,Guilherme,Perfect,Everything is ok,Perfect
Sharm-ElSheikh,Murat,Exceptional,Amazingly beautiful place with great people. Everything was perfect.,No Negative Review
Sharm-ElSheikh,Amy,Exceptional,"It is gorgeous and all the staff are very helpful, food is unreal",Nothing
Sharm-ElSheikh,Reem,Very good experience and I really enjoyed my stay,"Various restaurants and very good food , the place is very clean and the staff are very welcoming",Nothing.. everything is more than my expectations
Sharm-ElSheikh,Jean,Places like this are worth the spend,It was an incredibly experience that I would highly recommend to everyone,.
