City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,Positive Review Translated,sentiment classification,Semantic Phrases Pos,Semantic Phrases Neg,positive tokens,negative tokens
Sharm El Sheikh,Sharm Charme Sheraton Resort,Hesham,United Arab Emirates,4 nights   ,April 2024,Family,Villa,"May 13, 2024",location good breakfast included reservation host tarek incredible helpful indeed,fact tv quite old small compared space located proper varieties channels except hot bird suitable family channels available different types guests beach quite far villa easily accessible maybe best option old aged guests,The fact that the TV was quite old and very small compared to the space where it was located and that there was no proper varieties for channels except Hot bird which was not suitable for my family. There should be other channels available for different types of guests. The beach is quite far from the villa and not easily accessible so maybe won't be best option for old aged guests.,Location was good. there is no breakfast included in this reservation. Our host Tarek was incredible and very helpful indeed.,-1,"['incredible', 'tarek', 'good breakfast', 'location good', 'included reservation host']","['old small', 'beach quite', 'aged guests', 'hot bird suitable', 'channels available different']","['location', 'breakfast']","['beach', 'old']"
Aswan,Meshra Katto,Marloes,Netherlands,2 nights   ,December 2023,Couple,Studio with Sea View,"December 15, 2023",meshra katto located less busy side elephantine island beautiful view nile especially sunset booked room nile view balcony would highly recommend mohamed family staff lovely welcoming friendly really relaxed mohamed helped us booking tour abu simbel nothing pushy explaining options would also recommend booking tour via mohamed since well organized boat trip straight hotel also prepared us take away breakfast abu simbel trip amazing place explore aswan,nothing really everything perfect,"Nothing really, everything was perfect.","Meshra Katto is located on the less busy side of Elephantine Island, there’s a beautiful view of the nile (especially at sunset!). We booked the room with nile view and balcony, would highly recommend this. Mohamed and his family/staff were all very lovely, welcoming and friendly. And above all, really relaxed. Mohamed helped us booking a tour to Abu Simbel, nothing pushy just explaining our options. Would also recommend booking a tour via Mohamed, since it’s all very well organized with a boat trip straight from the hotel. They also prepared for us a take away breakfast for our Abu Simbel trip. All in all an amazing place to explore Aswan from!",-1,"['highly recommend mohamed', 'booked room nile', 'simbel trip', 'meshra katto', 'elephantine island beautiful']",[],"['nile', 'room']",[]
Hurghada,TK Suites,Nader,Egypt,3 nights   ,January 2025,Family,Deluxe Suite,"January 3, 2025",location clean,coffee shop,Coffee shop,"Location, clean",-1,[],[],[],[]
Hurghada,New Eagles Aqua Park Resort,Matthieu,France,7 nights   ,January 2025,Couple,Double or Twin Room with Pool View,"January 13, 2025",service perfect employees nice friendly,nothing,Nothing :),The service is just perfect and all employees are very nice and friendly !,1,"['just', 'employees', 'perfect', 'service', 'nice friendly']",[],['service'],[]
Luxor,Grand Square Hostel Luxor,Karl,United Kingdom,1 night   ,Jan-25,Solo traveler,4-Bed Male Dormitory Room,"January 7, 2025",great helpful staff bathroom needs bit work ok good wifi,negative feedback,No Negative Feedback,Great and helpful staff. Bathroom needs a bit of work but it is ok. Good wifi too.,1,"['bit work', 'good', 'wifi', 'staff', 'bathroom']",[],['staff'],[]
Sharm El Sheikh,Sierra Sharm El Sheikh,Majid,Iraq,3 nights   ,June 2024,Couple,Standard Twin Room with Pool View,"June 15, 2024",staff amazing specially reception mr moustafa mr mina front desk rasha main restaurant,negative feedback,No Negative Feedback,"Staff amazing specially reception Mr Moustafa and Mr Mina at a at front desk
Rasha at main restaurant",1,"['specially reception', 'rasha', 'mr moustafa', 'main restaurant', 'staff amazing']",[],"['reception', 'restaurant', 'staff']",[]
Aswan,Kato Dool Wellness Resort,Gina,United States,2 nights   ,July 2023,Group,Junior Suite with Jacuzzi,"July 2, 2023",eye popping location bit beaten track things aswan ride getting totally worth west bank nubian village sands sahara climbing valley fantastic pool stunning view entire aswan first cataract valley staff incredibly helpful easy phone call whatsapp throughout day night able help coordinate boat rides transportation activities problem rooms air conditioned gorgeously decorated beds super comfy,one dinner two breakfasts good fans nubian cuisine general,"The one dinner and two breakfasts we had were good, but we weren't fans of Nubian cuisine in general.","Eye-popping location!   A bit further from the beaten track and things to do in Aswan, but the ride getting there was totally worth it... through a West-bank Nubian village and up into the sands of the Sahara climbing above the valley.   Fantastic pool has a stunning view of the entire Aswan First Cataract valley!  Staff was incredibly helpful; with an easy phone call or WhatsApp throughout the day and night, they were able to help coordinate boat rides, transportation and activities with no problem at all.  Rooms were air-conditioned and gorgeously decorated, and beds were super comfy.",-1,"['ride getting', 'air conditioned gorgeously', 'village sands sahara', 'fantastic pool', 'aswan']","['weren fans', 'general', 'good', 'nubian', 'breakfasts']",['pool'],[]
Sharm El Sheikh,Pickalbatros Laguna Vista Aqua Park HRS Inclusive,Megi,Albania,7 nights   ,February 2025,Family,Single Room with Pool View,"February 11, 2025",rooms big clean staff nice manager great,food everyday desserts always la carte restaurant good quality heated pools heated drinks good quality average water comes like brown sometimes terrible shampoo sometimes water hot shower every entertainment closes pm even bicycles children playground helpful request take care min kid help children party suggest kids songs italian grown kids song stayed years hotel much better overall review enough,"The food is the same everyday, desserts always the same. A la carte restaurant not a very good.quality. 
Heated pools are not that heated.
Drinks are not a good quality, but average.
Water comes like brown sometimes, terrible shampoo, sometimes the water is not hot in the shower.
Every entertainment closes at 5 pm, even the bicycles.
Children's playground- it was not helpful, and if you request to.take.care for.10-15 min for your kid, she can not help you.
Children's party- i suggest more kids songs, not just italian or grown up kids song
I stayed 3 years before in this hotel, but it was much better. 
Overall a review of 8 is enough.","Rooms are big, clean
The staff is nice. The manager is great.",-1,"['big', 'clean', 'manager', 'rooms', 'staff nice']","['terrible shampoo water', 'everyday desserts la', 'quality average', 'heated pools', 'stayed years hotel']","['clean', 'staff']",['hotel']
Luxor,Old Winter Apartment,Thomas,Austria,1 night   ,Jan-25,Solo traveler,Two-Bedroom Apartment,"January 13, 2025",great host kept us safe stay provided reasonable priced guided tours egypt aswan abu simbel luxor cairo good food lunch provided hotel,negative feedback,No Negative Feedback,"Great host, kept us safe during our stay. Provided reasonable priced guided tours through Egypt ( Aswan, Abu Simbel, Luxor, and Cairo). Good food and lunch provided at hotel.",1,"['aswan abu simbel', 'luxor', 'safe stay provided', 'cairo good food', 'priced guided tours']",[],['food'],[]
Sharm El Sheikh,Cleopatra Luxury Resort Sharm Adults years plus,Regina,Hungary,3 nights   ,October 2024,Couple,Deluxe Room Pool or Garden View,"October 22, 2024",new comfortable spacious loved color combination gym gym new spacious separate room solo activities like yoga ect pool nice big maybe sunbeds reception staff manager ahmed friendly kind try resolve inconvenience,hotel self far away beach needed take shuttle arrive beach restaurant vegetarian vegan healthy options serve fresh fruit juices even payed option available box also think restaurant quite small capacity compared size hotel guests grill bar beach manager refused us sit eat although restaurant open hustle managed get free salad room dinner starting got later hardly offer easily complimentary dinner italian restaurant vegetarian,"The hotel it self was far away from the beach. We needed to take a shuttle to arrive to the beach. The restaurant had very few vegetarian/vegan/healthy options. They don’t serve FRESH fruit juices (not even payed option available) only from box. I also think that the restaurant has quite small capacity, compared for the size of the hotel and its guests. In the grill bar at the beach the manager refused us to sit down and eat at 15:52, although the restaurant is open until 16.00. After a hustle we managed to get a free salad to our room as the dinner was starting at 19.00… and we got later on (very hardly, they didn’t offer it easily) a complimentary dinner in the Italian restaurant as we are vegetarian.","It was very new, comfortable, and spacious. I loved the color combination and the gym! Gym is new and spacious too with a separate room for solo activities like yoga ect. The pool was nice and big, maybe with too few sunbeds. Reception staff manager Ahmed was very friendly and kind to try to resolve our inconvenience.",-1,"['sunbeds', 'pool', 'reception staff', 'spacious loved color', 'gym gym new']","['compared size hotel', 'bar beach manager', 'beach needed shuttle', 'salad room dinner', 'restaurant vegetarian']","['reception', 'pool', 'staff']","['bar', 'beach', 'hotel', 'room', 'restaurant']"
Hurghada,Zen Resort Sahl Hasheesh TBH Hotels,Amr,Egypt,2 nights   ,June 2024,Couple,Deluxe Double Room with Sea View,"June 19, 2024",welcoming stuff solutions premise clean relaxing,called ask deposit even free cancellation contract speaking gm everything solved problem booking customer service solve usual say decision,They called me to ask for deposit even when I am on a free cancellation contract but after speaking to the GM there everything was solved .. (a problem booking customer service didn’t solve as usual as they don’t have any say or decision),It’s a welcoming stuff with solutions and the premise is very clean and relaxing,-1,"['stuff', 'solutions premise', 'welcoming', 'premise clean', 'clean relaxing']","['didn solve', 'gm', 'service didn', 'booking customer', 'deposit free']",['clean'],['service']
Sharm El Sheikh,Savoy Sharm El Sheikh,Abdullah,Saudi Arabia,3 nights   ,August 2024,Family,Standard Twin Room with Pool View,"August 6, 2024",wanted share recent experience front office team one establishments truly pleasure thanks friendly professional staff particular would like extend gratitude reception manager mr ahmed sayed along colleagues mohammed rest front office staff dedication providing excellent service made visit exceptionally pleasant efficient also went way ensure felt welcomed well taken care efforts reflect positively company commitment customer satisfaction thank fostering remarkable team certainly makes difference leaves lasting impression guests,negative feedback,No Negative Feedback,"I wanted to share my recent experience with the front office team at one of your establishments. It was truly a pleasure, thanks to the friendly and professional staff. In particular, I would like to extend my gratitude to the reception manager, Mr. Ahmed Sayed, along with his colleagues Mohammed and the rest of the front office staff.

Their dedication to providing excellent service made my visit exceptionally pleasant. They were not only efficient but also went out of their way to ensure I felt welcomed and well taken care of. Their efforts reflect positively on your company's commitment to customer satisfaction.

Thank you for fostering such a remarkable team. It certainly makes a difference and leaves a lasting impression on your guests.",1,"['extend gratitude', 'visit exceptionally pleasant', 'office team establishments', 'reflect positively company', 'reception manager mr']",[],['reception'],[]
Hurghada,Pickalbatros Aqua Blu Resort Hurghada,Mohammad,Belgium,6 nights   ,May 2024,Family,Double Room with Pool View,"June 17, 2024",children pools amazing warm diversity staff friendly welcome would best satisfy needs weather nice may,nothing,Nothing,"1-children pools were amazing, warm diversity.
2-staff friendly welcome, they would do their best to satisfy your needs.
The weather was nice in May.",1,"['best satisfy needs', 'weather', 'friendly', 'diversity staff', 'children pools']",[],['staff'],[]
Aswan,Artika Wadi Kiki Hotel,Robert,Netherlands,3 nights   ,February 2025,Couple,Double Room with Terrace,"February 14, 2025",padro manager made stay exceptional anything need wadi kiki beautiful nubian colored buildings location views fantastic breakfast fine live music nice beds need replacing though,beds comfortable kept rolling one side,"The beds were not very comfortable, I kept rolling to one side.","Padro the manager made our stay exceptional. He was there for anything you need and more. Wadi Kiki is beautiful with Nubian colored buildings. The location and views fantastic too. Breakfast was fine, live music was nice. The beds need replacing though.",-1,"['buildings location views', 'fantastic breakfast fine', 'manager stay exceptional', 'beds need replacing', 'padro']","['comfortable', 'kept', 'kept rolling', 'rolling', 'beds']","['location', 'breakfast']",[]
Sharm El Sheikh,Cleopatra Luxury Resort Sharm Adults years plus,Siraj,Israel,7 nights   ,September 2024,Family,Deluxe Room Pool or Garden View,"September 1, 2024",best holiday ever especially thanks mr mohamed atef mr ahmed khalaf mr mohamed taher,negative feedback,No Negative Feedback,We had the best holiday ever especially thanks to mr Mohamed atef and mr Ahmed Khalaf and mr Mohamed taher,1,"['taher', 'especially thanks', 'atef', 'mr mohamed', 'best holiday especially']",[],[],[]
Sharm El Sheikh,Four Seasons Resort Sharm El Sheikh,Vladimir,Russia,5 nights   ,December 2023,Family,Superior King Room with Palm View,"December 25, 2023",breakfast fantastic architecture great personal well trained,please stay,Please stay as you are..,"Breakfast is fantastic.
Architecture is great.
Personal is well trained",-1,"['trained', 'personal', 'great', 'architecture', 'breakfast']",[],['breakfast'],[]
