City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi,clean_City,clean_Hotel_Name
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) Deals",Steigenberger Resort Achti,Scored 8.6,9,8.7,8.9,9,8.6,9.1,8.4,Luxor,Steigenberger Resort Achti
MRHostel Luxor (Hostel) (Egypt) Deals,MRHostel Luxor,Scored 9.5,9.9,9.3,9.5,9.6,9.8,9.8,8.5,Luxor,MRHostel Luxor
Iberotel Luxor (Hotel) (Egypt) Deals,Iberotel Luxor,Scored 8.5,8.9,8.5,8.7,8.8,8.4,9.4,7.3,Luxor,Iberotel Luxor
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Scored 8.5,9.4,8.2,8.6,8.5,8.9,9.5,7.6,Luxor,Nefertiti Hotel Luxor
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) Deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,9,9.1,9.3,9.2,8.8,9.2,8.3,Luxor,Jolie Ville Hotel Spa Kings Island Luxor
Pyramisa Hotel Luxor (Hotel) (Egypt) Deals,Pyramisa Hotel Luxor,Scored 8.3,8.9,8.2,8.5,8.5,8.3,9.2,6,Luxor,Pyramisa Hotel Luxor
"Anglo Hotel (Hotel), Luxor (Egypt) Deals",Anglo Hotel,Scored 5.9,6.1,6.1,6.1,6.6,6.6,7.6,No Rate,Luxor,Anglo Hotel
"Rezeiky Hotel & Camp (Campground), Luxor (Egypt) Deals",Rezeiky Hotel & Camp,Scored 8.1,9.1,7.8,8,8,8.5,8.9,8.5,Luxor,Rezeiky Hotel Camp
Tokyo House Luxor (Apartment) (Egypt) Deals,Tokyo House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,Tokyo House Luxor
The Temple Hotel & Spa Luxor (Hotel) (Egypt) Deals,The Temple Hotel & Spa Luxor,Scored 8.9,9.3,9,9.2,9.2,9.1,9,8.7,Luxor,Temple Hotel Spa Luxor
"New Winter Apartment (Apartment), Luxor (Egypt) Deals",New Winter Apartment,Scored 10,10,10,10,10,10,10,No Rate,Luxor,New Winter Apartment
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) Deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.3,9.4,9,9.4,8.4,Luxor,Steigenberger Nile Palace Luxor Convention Center
Grand Square Hostel Luxor (Hostel) (Egypt) Deals,Grand Square Hostel Luxor,Scored 8.5,9.5,8,8,8.1,9,9.3,7.5,Luxor,Grand Square Hostel Luxor
"أهلا بكم (Apartment), Luxor (Egypt) Deals",أهلا بكم,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,
Lotus Luxor Hotel (Hotel) (Egypt) Deals,Lotus Luxor Hotel,Scored 8.5,8.8,8.5,8.7,8.8,8.7,9.2,8.8,Luxor,Lotus Luxor Hotel
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) Deals,Aracan Eatabe Luxor Hotel,Scored 8.6,9.2,8.6,8.8,8.9,8.6,9.6,6.8,Luxor,Aracan Eatabe Luxor Hotel
"Kemet House (Guesthouse), Luxor (Egypt) Deals",Kemet House,Scored 9.9,9.9,9.8,9.8,9.9,9.9,9.9,9.4,Luxor,Kemet House
"Old Winter Apartment (Apartment), Luxor (Egypt) Deals",Old Winter Apartment,Scored 9.3,9.5,9.2,9.4,9.4,9.5,9.5,10,Luxor,Old Winter Apartment
Studio House Luxor (Apartment) (Egypt) Deals,Studio House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,Luxor,Studio House Luxor
